Date,"First Punch-In Time","Last Punch-Out Time","Time in Office","Time in Timesheets"
2019-07-01,"Not Found","Not Found",0,0
2019-07-02,"Not Found","Not Found",0,0
2019-07-03,"Not Found","Not Found",0,0
2019-07-04,"Not Found","Not Found",0,0
2019-07-05,"Not Found","Not Found",0,0
2019-07-06,"Not Found","Not Found",0,0
2019-07-07,"Not Found","Not Found",0,0
2019-07-08,"Not Found","Not Found",0,0
2019-07-09,"Not Found","Not Found",0,0
2019-07-10,"Not Found","Not Found",0,0
2019-07-11,"Not Found","Not Found",0,0
2019-07-12,"Not Found","Not Found",0,0
2019-07-13,"Not Found","Not Found",0,0
2019-07-14,"Not Found","Not Found",0,0
2019-07-15,"Not Found","Not Found",0,0
2019-07-16,"Not Found","Not Found",0,0
2019-07-17,"Not Found","Not Found",0,0
2019-07-18,"Not Found","Not Found",0,0
2019-07-19,"Not Found","Not Found",0,0
2019-07-20,"Not Found","Not Found",0,0
2019-07-21,"Not Found","Not Found",0,0
2019-07-22,"Not Found","Not Found",0,0
2019-07-23,"Not Found","Not Found",0,0
2019-07-24,"Not Found","Not Found",0,0
2019-07-25,"Not Found","Not Found",0,0
2019-07-26,"Not Found","Not Found",0,0
2019-07-27,"Not Found","Not Found",0,0
2019-07-28,"Not Found","Not Found",0,0
2019-07-29,"Not Found","Not Found",0,0
2019-07-30,"Not Found","Not Found",0,0
2019-07-31,"Not Found","Not Found",0,0
2019-08-01,"Not Found","Not Found",0,0
2019-08-02,"Not Found","Not Found",0,0
2019-08-03,"Not Found","Not Found",0,0
2019-08-04,"Not Found","Not Found",0,0
2019-08-05,"Not Found","Not Found",0,0
2019-08-06,"Not Found","Not Found",0,0
2019-08-07,"Not Found","Not Found",0,0
2019-08-08,"Not Found","Not Found",0,0
2019-08-09,"Not Found","Not Found",0,0
2019-08-10,"Not Found","Not Found",0,0
2019-08-11,"Not Found","Not Found",0,0
2019-08-12,"Not Found","Not Found",0,0
2019-08-13,"Not Found","Not Found",0,0
2019-08-14,"Not Found","Not Found",0,0
2019-08-15,"Not Found","Not Found",0,0
2019-08-16,"Not Found","Not Found",0,0
2019-08-17,"Not Found","Not Found",0,0
2019-08-18,"Not Found","Not Found",0,0
2019-08-19,"Not Found","Not Found",0,0
2019-08-20,"Not Found","Not Found",0,0
2019-08-21,"Not Found","Not Found",0,0
2019-08-22,"Not Found","Not Found",0,0
2019-08-23,"Not Found","Not Found",0,0
2019-08-24,"Not Found","Not Found",0,0
2019-08-25,"Not Found","Not Found",0,0
2019-08-26,"Not Found","Not Found",0,0
2019-08-27,"Not Found","Not Found",0,0
2019-08-28,"Not Found","Not Found",0,0
2019-08-29,"Not Found","Not Found",0,0
2019-08-30,"Not Found","Not Found",0,0
2019-08-31,"Not Found","Not Found",0,0
2019-09-01,"Not Found","Not Found",0,0
2019-09-02,"Not Found","Not Found",0,0
2019-09-03,"Not Found","Not Found",0,0
2019-09-04,"Not Found","Not Found",0,0
2019-09-05,"Not Found","Not Found",0,0
2019-09-06,"Not Found","Not Found",0,0
2019-09-07,"Not Found","Not Found",0,0
2019-09-08,"Not Found","Not Found",0,0
2019-09-09,"Not Found","Not Found",0,0
2019-09-10,"Not Found","Not Found",0,0
2019-09-11,"Not Found","Not Found",0,0
2019-09-12,"Not Found","Not Found",0,0
2019-09-13,"Not Found","Not Found",0,0
2019-09-14,"Not Found","Not Found",0,0
2019-09-15,"Not Found","Not Found",0,0
2019-09-16,"Not Found","Not Found",0,0
2019-09-17,"Not Found","Not Found",0,0
2019-09-18,"Not Found","Not Found",0,0
2019-09-19,"Not Found","Not Found",0,0
2019-09-20,"Not Found","Not Found",0,0
2019-09-21,"Not Found","Not Found",0,0
2019-09-22,"Not Found","Not Found",0,0
2019-09-23,"Not Found","Not Found",0,0
2019-09-24,"Not Found","Not Found",0,0
2019-09-25,"Not Found","Not Found",0,0
2019-09-26,"Not Found","Not Found",0,0
2019-09-27,"Not Found","Not Found",0,0
2019-09-28,"Not Found","Not Found",0,0
2019-09-29,"Not Found","Not Found",0,0
2019-09-30,"Not Found","Not Found",0,0
2019-10-01,"Not Found","Not Found",0,0
2019-10-02,"Not Found","Not Found",0,0
2019-10-03,"Not Found","Not Found",0,0
2019-10-04,"Not Found","Not Found",0,0
2019-10-05,"Not Found","Not Found",0,0
2019-10-06,"Not Found","Not Found",0,0
2019-10-07,"Not Found","Not Found",0,0
2019-10-08,"Not Found","Not Found",0,0
2019-10-09,"Not Found","Not Found",0,0
2019-10-10,"Not Found","Not Found",0,0
2019-10-11,"Not Found","Not Found",0,0
2019-10-12,"Not Found","Not Found",0,0
2019-10-13,"Not Found","Not Found",0,0
2019-10-14,"Not Found","Not Found",0,0
2019-10-15,"Not Found","Not Found",0,0
2019-10-16,"Not Found","Not Found",0,0
2019-10-17,"Not Found","Not Found",0,0
2019-10-18,"Not Found","Not Found",0,0
2019-10-19,"Not Found","Not Found",0,0
2019-10-20,"Not Found","Not Found",0,0
2019-10-21,"Not Found","Not Found",0,0
2019-10-22,"Not Found","Not Found",0,0
2019-10-23,"Not Found","Not Found",0,0
2019-10-24,"Not Found","Not Found",0,0
2019-10-25,"Not Found","Not Found",0,0
2019-10-26,"Not Found","Not Found",0,0
2019-10-27,"Not Found","Not Found",0,0
2019-10-28,"Not Found","Not Found",0,0
2019-10-29,"Not Found","Not Found",0,0
2019-10-30,"Not Found","Not Found",0,0
2019-10-31,"Not Found","Not Found",0,0
